ปี,ชื่อ-นามสกุล,ตำแหน่ง,ประเภทกรรมการ,คณะกรรมการ
2566,นางเธียรรัตน์ นะวะมะวัฒน์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2566,นางอำมร เชาวลิต,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2566,นายกวี รัตนปรีชาเวช,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2566,นายชาญวิทย์ ทระเทพ,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2566,นายธนัสถา คำมาวงษ์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2566,นายมนัส โกศล,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2566,นายวสันต์ มหิงษา,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2566,นายสมพงษ์ เจริญทรัพย์ถาวร,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2566,นายอนันต์ชัย อุทัยพัฒนาชีพ,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2566,นายอาทิตย์ อิสโม,ประธานกรรมการ,ประธาน,คณะกรรมการกองทุนเงินทดแทน
2566,ผู้แทนสำนักงานประกันสังคม,กรรมการและเลขานุการ,เลขานุการ,คณะกรรมการกองทุนเงินทดแทน
2566,ว่าที่ ร.ต. สิทธิพร บาลทิพย์,กรรมการ,กรรมการ,คณะกรรมการกองทุนเงินทดแทน
2566,นพ. ธนา ธุระเจน,ประธานกรรมการ,ประธาน,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,นางเลิศลักษณ์ ลีลาเรืองแสง,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,นาย ธเนศ กรัษนัยรวิวงศ์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
2566,นายจินดา โรจนเมธินทร์,กรรมการ,กรรมการ,คณะกรรมการการแพทย์กองทุนประกันสังคม
